Data,preco_soja_usd_log_ret,petroleo_wti_usd_log_ret,dxy_index_log_ret,taxa_cambio_usd_brl_log_ret,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy_diff,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT_diff,Estoque_Argentina_MT_diff
2006-01-01,-0.012957339068517692,0.10680115502689036,-0.024539065094539188,-0.055527085957121934,207.1,32.2,0.777,-0.6119969499446256,1903.224381625442,1.213756476683938,-0.01077113702623922,0.20771468531468518
2006-02-01,-0.023841061085756916,-0.10075785366178416,0.012844315744673838,-0.040831412888899625,196.6,37.0,0.529,0.7372237237707395,1827.095406360424,1.0249499136442144,0.31263848396501437,0.1531608391608391
2006-03-01,-0.0151945619196811,0.08158223823313797,-0.004225984936979524,0.018892690213046383,183.6,60.4,0.996,-2.415495578853637,1903.224381625442,0.8631157167530223,0.7815962099125366,0.45948251748251767
2006-04-01,0.02718614030415678,0.07584313534091248,-0.04117961260189252,-0.03623073288917134,160.2,85.0,-0.35,1.0196777511580706,1979.35335689046,0.7282538860103627,0.7815962099125364,0.7658041958041955
2006-05-01,-0.013284960759215788,-0.008241996785821088,-0.016273847414922774,0.09939643136043101,106.3,109.5,0.083,-7.041319961453397,2156.987632508834,0.6203644214162349,0.46895772594752216,0.6126433566433565
2006-06-01,0.025975486403260736,0.036362634439471644,0.005884446778614995,-0.06228807999418135,80.4,116.3,0.093,-6.385187270841186,2334.621908127209,0.5394473229706391,-0.3751661807580171,0.15316083916083967
2006-07-01,-0.025975486403260677,0.006337242270037494,0.000938306425867433,0.005341450283207528,67.4,102.7,-0.054,-1.5691657702917183,2410.7508833922266,0.593392055267703,-0.40643002915452,-0.4594825174825181
2006-08-01,-0.06643851307282259,-0.05725329500136522,-0.0029351356557626965,-0.015784076447761173,77.8,97.9,-0.001,-1.2386774573777615,2664.5141342756187,0.7552262521588947,-0.37516618075801667,-0.4594825174825172
2006-09-01,0.009635311983672092,-0.11049751325574286,0.010759079344481911,0.0143134203621163,114.1,83.8,-0.796,-1.9793845272936323,2842.1484098939936,2.6972366148531948,-0.34390233236151646,-0.36758601398601387
2006-10-01,0.1407541043773733,-0.06875446404751018,-0.0075895045832029585,-0.014593388634207945,157.8,70.8,-0.645,5.829979701848188,2918.2773851590105,2.48145768566494,-0.3126384839650147,-0.33695384615384594
2006-11-01,0.0840319329343398,0.07224542284510624,-0.028532606035570892,0.010306976429784996,170.6,60.2,-0.309,-4.617013968302672,2994.406360424028,2.21173402417962,-0.28137463556851317,-0.2756895104895103
2006-12-01,-0.00292184283836486,-0.033502891822820666,0.00960161001022007,-0.013251385352510674,194.0,42.6,0.375,-3.5431188261213578,2791.395759717316,1.8880656303972363,-0.15631924198250702,-0.18379300699300727
2007-01-01,0.05132987016341832,-0.048839305425983734,0.010574565358610538,-0.0058678727222500815,207.1,32.2,0.055,0.18692143923971116,2505.477031802121,0.4336787564766839,-0.04936734693877576,-0.10393566433566426
2007-02-01,0.07204588523775651,0.06088764394215835,-0.012367858923064771,-0.001696353248178402,196.6,37.0,-0.285,-1.659744600880316,2405.2579505300355,0.3662176165803109,0.3304081632653061,0.1460489510489511
2007-03-01,-0.015640592541072175,0.06394156357971338,-0.007687725550232285,-0.029384322085861572,183.6,60.4,-0.4,-3.9429561719613133,2505.477031802121,0.3083937823834196,0.8260204081632649,0.43814685314685353
2007-04-01,-0.04397419338884723,-0.0024319817428252186,-0.018007543415058332,-0.011822894079179514,160.2,85.0,0.086,-1.109298177401243,2605.6961130742056,0.2602072538860103,0.8260204081632647,0.7302447552447549
2007-05-01,0.10140624247472274,-0.02621179975586426,0.010381772634969855,-0.057811965162650504,106.3,109.5,0.192,-1.419329307199206,2839.540636042403,0.2216580310880829,0.4956122448979601,0.5841958041958044
2007-06-01,0.05284248137437998,0.09912332629758366,-0.004627946391826451,0.0044161651197695525,80.4,116.3,-0.078,-0.6619407788046772,3073.385159010601,0.1927461139896373,-0.3964897959183671,0.14604895104895155
2007-07-01,-0.019002947125615358,0.10123486916202423,-0.014137551836992824,-0.02466669276040423,67.4,102.7,0.151,0.14412129674136054,3173.604240282686,0.212020725388601,-0.4295306122448981,-0.43814685314685375
2007-08-01,0.039958312301603384,-0.05479202890822318,0.0002475860374124418,0.04473356918406674,77.8,97.9,0.145,-1.0160598027971446,3507.667844522969,0.2698445595854922,-0.3964897959183671,-0.4381468531468533
2007-09-01,0.13277505828870753,0.0979587981861329,-0.03874057098237804,-0.0711146414896866,114.1,83.8,0.489,3.6587603222135243,3741.512367491167,0.9637305699481864,-0.36344897959183675,-0.3505174825174824
2007-10-01,0.018738836886247483,0.1463529585458633,-0.016083355766093405,-0.053909629275623004,157.8,70.8,0.061,-1.5876297744506047,3841.73144876325,0.8866321243523316,-0.3304081632653064,-0.32130769230769207
2007-11-01,0.0670107102829603,-0.06354462190479752,-0.004324189401974983,0.034741824986590404,170.6,60.2,-0.088,1.37442202230703,3941.950530035336,0.7902590673575128,-0.29736734693877565,-0.2628881118881119
2007-12-01,0.10452683490924884,0.0787672138976041,0.0070662424355969295,-0.010172800264541652,194.0,42.6,-0.219,2.6053328834276783,3674.699646643111,0.6746113989637303,-0.16520408163265288,-0.1752587412587414
2008-01-01,0.06106606878865598,-0.04507234949541989,-0.019886083640735807,-0.011981605979475856,207.1,32.2,-0.738,-0.523372090492785,2722.924028268552,0.2923056994818652,-0.3309737609329445,-0.28675524475524494
2008-02-01,0.177471314605461,0.1043354673144714,-0.019746762934834673,-0.03907516995853316,196.6,37.0,-0.398,7.435620608590185,2614.0070671378094,0.2468359240069084,0.23766763848396488,0.10799300699300707
2008-03-01,-0.23999799919891246,-0.0025562888760521595,-0.026253999147018935,0.037709671339440545,183.6,60.4,-0.174,22.901636728516266,2722.924028268552,0.2078618307426597,0.5941690962099127,0.3239790209790211
2008-04-01,0.08368225282028961,0.11060368652532215,0.009840007329322997,-0.05512423356863639,160.2,85.0,-0.12,3.835020563311417,2831.840989399294,0.1753834196891191,0.5941690962099124,0.5399650349650349
2008-05-01,0.046345410242634694,0.11548884952704486,0.005089769568201498,-0.02171155920551976,106.3,109.5,-0.178,-0.8911513093267445,3085.980565371025,0.1494006908462866,0.356501457725948,0.43197202797202805
2008-06-01,0.163068833278473,0.09470322118383825,-0.005779567484771688,-0.013867615290610607,80.4,116.3,-0.691,4.288897665055146,3340.1201413427566,0.1299136442141623,-0.2852011661807583,0.10799300699300707
2008-07-01,-0.13969185137364643,-0.12071590374102098,0.010570487606047325,-0.02339988826677479,67.4,102.7,-0.652,5.0210891221726115,3449.037102473498,0.1429050086355785,-0.3089679300291548,-0.323979020979021
2008-08-01,-0.04675033309013543,-0.07200236923549591,0.05512317619938833,0.03941705144478719,77.8,97.9,-0.593,0.6298231367946983,3812.0936395759727,0.1818791018998272,-0.2852011661807574,-0.3239790209790212
2008-09-01,-0.242664686701423,-0.1373743566806571,0.026399543710358225,0.1567415362586698,114.1,83.8,-0.736,20.72461953446492,4066.233215547704,0.6495682210708116,-0.2614344023323616,-0.2591832167832169
2008-10-01,-0.12170819313264601,-0.3948401162563796,0.07490779605537563,0.1267292270780706,157.8,70.8,-0.58,4.273723280263425,4175.150176678445,0.5976027633851467,-0.23766763848396533,-0.23758461538461506
