Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2003-04-01,623.5,25.8,97.19,2.911,160.2,85.0,-1.171,99.99877838229276,1166.7614840989402,0.1426476683937824,2.1746865889212827,1.4783916083916082
2003-05-01,624.5,29.56,93.27,2.9735,106.3,109.5,-0.741,101.91893681616664,1271.4708480565373,0.1215146804835924,2.5584548104956277,1.8726293706293704
2003-06-01,621.25,30.19,94.73,2.837,80.4,116.3,-0.223,103.05539116865694,1376.1802120141344,0.1056649395509499,2.251440233236152,1.971188811188811
2003-07-01,532.5,30.54,96.89,2.9675,67.4,102.7,-0.088,103.98529881421312,1421.0556537102475,0.1162314335060449,1.91884110787172,1.6755104895104895
2003-08-01,595.0,31.57,98.1,2.9785,77.8,97.9,-0.108,104.879127144686,1570.640459363958,0.1479309153713299,1.6118265306122452,1.3798321678321677
2003-09-01,677.25,29.2,92.85,2.8925,114.1,83.8,-0.196,105.098621637289,1675.349823321555,0.5283246977547496,1.330396501457726,1.1432895104895102
2003-10-01,794.25,29.11,92.73,2.8665,157.8,70.8,-0.729,108.377678754322,1720.225265017668,0.4860587219343696,1.0745510204081634,0.9264587412587412
2003-11-01,756.25,30.41,90.21,2.9465,170.6,60.2,-0.798,109.03423223405116,1765.100706713781,0.4332262521588946,0.8442900874635569,0.7490517482517483
2003-12-01,789.0,32.52,86.92,2.8915,194.0,42.6,-0.743,107.44412780365244,1645.4328621908132,0.3698272884283247,0.7163673469387757,0.6307804195804195
2004-01-01,819.5,33.05,87.2,2.9345,207.1,32.2,-0.097,106.67348774167344,1709.4964664310958,0.5409326424870466,0.6923104956268222,0.6488811188811187
2004-02-01,942.5,36.16,87.31,2.906,196.6,37.0,0.069,111.5186928559724,1641.1166077738517,0.4567875647668394,0.9692346938775508,0.7570279720279718
2004-03-01,995.0,35.76,87.61,2.896,183.6,60.4,-0.657,112.04847665520384,1709.4964664310958,0.3846632124352331,1.6615451895043731,1.0814685314685313
2004-04-01,1034.0,37.38,90.48,2.931,160.2,85.0,-0.33,110.9981540898656,1777.8763250883396,0.3245595854922279,2.353855685131195,1.6222027972027968
2004-05-01,814.0,39.88,88.95,3.189,106.3,109.5,-0.385,131.9817590620864,1937.4293286219083,0.2764766839378238,2.769241982507289,2.0547902097902093
